id,title,pricePerServing,weightPerServing,vegetarian,vegan,glutenFree,dairyFree,sustainable,veryHealthy,veryPopular,gaps,lowFodmap,ketogenic,whole30,readyInMinutes,spoonacularSourceUrl,image,aggregateLikes,spoonacularScore,healthScore,percentProtein,percentFat,percentCarbs,dishTypes,ingredients,cuisines,calories,Fat,Saturated_Fat,Carbohydrates/g,Sugar,Cholesterol,Sodium,Protein,Vitamin_B3,Selenium,Phosphorus,Iron_mg,Vitamin_B2,Calcium,Vitamin_B1,Folate,Potassium,Copper,Zinc,Manganese,Magnesium,Vitamin_B12,Vitamin_B5,Vitamin_B6,Vitamin_E,Fiber,Vitamin_A,Vitamin_D,Vitamin_K,Vitamin_C,Alcohol,Caffeine,URL,Instructions,formatted_instructions,preprocessed_title,preprocessed_ingredients,ingredient_count,difficulty_level,flavor_profile,combined_features
461,Easy Caesar Salad,0.5526,82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/easy-caesar-salad-461,https://spoonacular.com/recipeImages/461-556x370.jpg,542,67,26,18.68,41.48,39.84,Sidedish,"dijon mustard, anchovy, french bread, lemon juice, salt, red wine vinegar, water, garlic cloves, romaine lettuce, olive oil, egg yolk, parmesan cheese, black pepper",American,102.96,4.83,1.49,10.44,1.05,35.15,207.04,4.89,1.13,7.63,80.07,1.22,0.11,87.47,0.11,90.46,160.04,0.06,0.49,0.19,14.54,0.12,0.25,0.08,0.52,1.41,4195.46,0.18,50.32,3.21,0,0,https://spoonacular.com/easy-caesar-salad-461,"Heat oil in a small saucepan over medium heat. Stir in garlic.
Remove pan from heat; let stand 5 minutes.
Remove garlic from oil with a slotted spoon; discard garlic.
Preheat broiler.
Place bread on a baking sheet.
Drizzle bread with 1 1/2 teaspoons oil; toss to coat. Arrange bread in an even layer. Broil 6 inches from heat for 2 minutes or until lightly browned, stirring after 1 minute. Turn oven off.
Place pan on middle oven rack; close oven door.
Add juice and next 6 ingredients (through egg yolk) to remaining oil in pan. Cook over medium heat 30 seconds or until mixture thickens and begins to bubble around edges, stirring constantly.
Pour mixture into a small bowl; cool to room temperature.
Place lettuce in a large bowl.
Add egg mixture, cheese, and pepper; toss gently to coat.
Add bread; toss gently to combine.
Serve immediately.","1) Heat oil in a small saucepan over medium heat.
2) Stir in garlic.
3) Remove pan from heat; let stand 5 minutes.
4) Remove garlic from oil with a slotted spoon; discard garlic.
5) Preheat broiler.
6) Place bread on a baking sheet.
7) Drizzle bread with 1 1/2 teaspoons oil; toss to coat.
8) Arrange bread in an even layer.
9) Broil 6 inches from heat for 2 minutes or until lightly browned, stirring after 1 minute.
10) Turn oven off.
11) Place pan on middle oven rack; close oven door.
12) Add juice and next 6 ingredients (through egg yolk) to remaining oil in pan.
13) Cook over medium heat 30 seconds or until mixture thickens and begins to bubble around edges, stirring constantly.
14) Pour mixture into a small bowl; cool to room temperature.
15) Place lettuce in a large bowl.
16) Add egg mixture, cheese, and pepper; toss gently to coat.
17) Add bread; toss gently to combine.
18) Serve immediately.",easy caesar salad,dijon mustard anchovy french bread lemon juice salt red wine vinegar water garlic clove romaine lettuce olive oil egg yolk parmesan cheese black pepper,13,Hard,Spicy,easy caesar salad dijon mustard anchovy french bread lemon juice salt red wine vinegar water garlic clove romaine lettuce olive oil egg yolk parmesan cheese black pepper
462,Cavatappi Niçoise,1.8041,245,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,32,https://spoonacular.com/cavatappi-nioise-462,https://spoonacular.com/recipeImages/462-556x370.jpg,542,75,40,23.14,26.44,50.42,Sidedish,"capers, balsamic vinegar, extravirgin olive oil, anchovy, salt, haricots verts, red wine vinegar, cavatappi pasta, solid white tuna packed in water, grape tomatoes, olives, shallots, black pepper",Mediterranean,397.53,11.65,1.89,49.98,5.41,25.5,580.64,22.93,5.42,73.98,269.06,2.36,0.14,61.46,0.12,38.94,510.74,0.29,1.37,0.74,72.57,0.67,0.52,0.34,2.46,4.48,765.13,1.1,18.14,12.61,0,0,https://spoonacular.com/cavatappi-nioise-462,"Cook beans in boiling water 3 minutes; remove with a slotted spoon. Rinse under cold water; drain.
Place beans in a large bowl. Cook pasta according to package directions, omitting salt and fat.
Drain and rinse under cold water; drain.
Add pasta to beans.
Drain tuna through a sieve over a bowl, reserving oil. Flake tuna with a fork.
Add tuna and next 4 ingredients (through capers) to bowl; toss.
Combine reserved oil, olive oil, and remaining ingredients in a blender; process until smooth.
Pour oil mixture over pasta mixture; toss to coat.","1) Cook beans in boiling water 3 minutes; remove with a slotted spoon.
2) Rinse under cold water; drain.
3) Place beans in a large bowl.
4) Cook pasta according to package directions, omitting salt and fat.
5) Drain and rinse under cold water; drain.
6) Add pasta to beans.
7) Drain tuna through a sieve over a bowl, reserving oil.
8) Flake tuna with a fork.
9) Add tuna and next 4 ingredients (through capers) to bowl; toss.
10) Combine reserved oil, olive oil, and remaining ingredients in a blender; process until smooth.
11) Pour oil mixture over pasta mixture; toss to coat.",cavatappi ni oise,caper balsamic vinegar extravirgin olive oil anchovy salt haricot verts red wine vinegar cavatappi pasta solid white tuna packed water grape tomato olive shallot black pepper,13,Hard,Spicy,cavatappi ni oise caper balsamic vinegar extravirgin olive oil anchovy salt haricot verts red wine vinegar cavatappi pasta solid white tuna packed water grape tomato olive shallot black pepper
463,Bagna Cauda Bruschetta,0.3839,53,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/bagna-cauda-bruschetta-463,https://spoonacular.com/recipeImages/463-556x370.jpg,542,49,12,8.5,47.32,44.18,Salad,"extravirgin olive oil, lemon juice, salt, baguette, canned anchovy, garlic cloves, zucchini, fresh flat-leaf parsley, red bell pepper",European,99.75,5.28,0.81,11.1,1.03,0.21,175.86,2.13,1.07,5.53,31.28,0.76,0.08,21.96,0.11,45.91,95.75,0.05,0.27,0.15,10.13,0,0.15,0.08,0.89,0.93,399.61,0,15.11,17.35,0,0,https://spoonacular.com/bagna-cauda-bruschetta-463,"Preheat broiler.
Arrange baguette slices in an even layer on a baking sheet. Broil 1 minute or until toasted. Cool completely on baking sheet.
Prepare grill or grill pan.
Slice zucchini lengthwise into 3 equal pieces. Arrange zucchini pieces and bell pepper quarters, skin side down, in a single layer on grill rack or grill pan coated with cooking spray, and grill 3 minutes on each side or until lightly browned and crisp-tender. Chop zucchini and bell pepper; cover and keep warm.
Combine juice, salt, garlic, and anchovies in a small food processor; process 30 seconds or until mixture forms a paste.
Add oil; pulse 10 times or until combined. Spoon mixture into a small saucepan; bring to a simmer over medium-high heat.
Remove from heat; stir in parsley.
Place 2 baguette slices on each of 12 plates.
Drizzle each slice with about 1/2 teaspoon oil mixture, and top with about 1 tablespoon vegetables.
Serve immediately.","1) Preheat broiler.
2) Arrange baguette slices in an even layer on a baking sheet.
3) Broil 1 minute or until toasted.
4) Cool completely on baking sheet.
5) Prepare grill or grill pan.
6) Slice zucchini lengthwise into 3 equal pieces.
7) Arrange zucchini pieces and bell pepper quarters, skin side down, in a single layer on grill rack or grill pan coated with cooking spray, and grill 3 minutes on each side or until lightly browned and crisp-tender.
8) Chop zucchini and bell pepper; cover and keep warm.
9) Combine juice, salt, garlic, and anchovies in a small food processor; process 30 seconds or until mixture forms a paste.
10) Add oil; pulse 10 times or until combined.
11) Spoon mixture into a small saucepan; bring to a simmer over medium-high heat.
12) Remove from heat; stir in parsley.
13) Place 2 baguette slices on each of 12 plates.
14) Drizzle each slice with about 1/2 teaspoon oil mixture, and top with about 1 tablespoon vegetables.
15) Serve immediately.",bagna cauda bruschetta,extravirgin olive oil lemon juice salt baguette canned anchovy garlic clove zucchini fresh flat leaf parsley red bell pepper,9,Intermediate,Salty,bagna cauda bruschetta extravirgin olive oil lemon juice salt baguette canned anchovy garlic clove zucchini fresh flat leaf parsley red bell pepper
464,Osso bucco,11.858,1130,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/osso-bucco-464,https://spoonacular.com/recipeImages/464-556x370.jpg,542,79,57,42.93,40.17,16.9,Maindish,"lemon zest, rye meal, stock, anchovy, onion, tomato paste, colored sprinkles, parsley, stew meat, beef stock, veal, butter, flour, garlic cloves, salt and pepper, olive oil, garlic, osso buco",Mediterranean,1140.02,50.08,19.42,47.4,23.08,447.21,1935.85,120.42,43.55,87.42,1270.06,8.89,1.54,188.99,0.7,147.05,2510.13,0.75,22.16,0.66,171.84,8.54,6.32,3.2,3.73,5.42,1537.52,0.22,74.64,29.75,0,0,https://spoonacular.com/osso-bucco-464,"Osso bucco
Veal shanks have a richness unlike any other cut of meat and turn this stewinto an extraordinary meal.four 112in (4cm) thick veal shankssalt and freshly ground black pepper14 cup all-purpose flour2 tbsp butter2 tbsp olive oil1 small onion, chopped4 garlic cloves, chopped12 cup beef stock or water, as needed14 cup tomato paste3 tbsp chopped parsley2 anchovy fillets in oil, mincedgrated zest of 1 lemon
Season the veal with salt and pepper. Dredge in the flour and shake off any excess.Melt the butter with the oil in the casserole over medium-high heat.
Add the veal and cook,turning occasionally, about 5 minutes, or until browned all over.
Transfer to a plate.
Add the onionand garlic to the casserole and reduce the heat to medium-low. Cook, stirring occasionally, for 5minutes or until softened but not colored.Stir in the stock and tomato paste, season with salt and pepper, and bring to a boil. Return theveal to the casserole. Reduce the heat to low and cover. Simmer for 112 hours or until the veal istender. Check the stew occasionally, and if the cooking liquid has reduced too much, add morestock. The finished cooking liquid should be thick.Stir the parsley, anchovies, and lemon zest into the casserole. Adjust the seasoning as requiredand serve immediately.Good wIth a saffron-flavored risotto or cooked long-grain rice or your favorite pasta.The stew can be cooked, then chilled for up to 2 days. Reheat gently .","1) Osso bucco
Veal shanks have a richness unlike any other cut of meat and turn this stewinto an extraordinary meal.four 112in (4cm) thick veal shankssalt and freshly ground black pepper14 cup all-purpose flour2 tbsp butter2 tbsp olive oil1 small onion, chopped4 garlic cloves, chopped12 cup beef stock or water, as needed14 cup tomato paste3 tbsp chopped parsley2 anchovy fillets in oil, mincedgrated zest of 1 lemon
Season the veal with salt and pepper.
2) Dredge in the flour and shake off any excess.
3) Melt the butter with the oil in the casserole over medium-high heat.
4) Add the veal and cook,turning occasionally, about 5 minutes, or until browned all over.
5) Transfer to a plate.
6) Add the onionand garlic to the casserole and reduce the heat to medium-low.
7) Cook, stirring occasionally, for 5minutes or until softened but not colored.
8) Stir in the stock and tomato paste, season with salt and pepper, and bring to a boil.
9) Return theveal to the casserole.
10) Reduce the heat to low and cover.
11) Simmer for 112 hours or until the veal istender.
12) Check the stew occasionally, and if the cooking liquid has reduced too much, add morestock.
13) The finished cooking liquid should be thick.
14) Stir the parsley, anchovies, and lemon zest into the casserole.
15) Adjust the seasoning as requiredand serve immediately.
16) Good wIth a saffron-flavored risotto or cooked long-grain rice or your favorite pasta.
17) The stew can be cooked, then chilled for up to 2 days.
18) Reheat gently .",osso bucco,lemon zest rye meal stock anchovy onion tomato paste colored sprinkle parsley stew meat beef stock veal butter flour garlic clove salt pepper olive oil garlic osso buco,25,Hard,Salty,osso bucco lemon zest rye meal stock anchovy onion tomato paste colored sprinkle parsley stew meat beef stock veal butter flour garlic clove salt pepper olive oil garlic osso buco
465,Spaghetti with puttanesca,3.4668,517,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/spaghetti-with-puttanesca-465,https://spoonacular.com/recipeImages/465-556x370.jpg,542,85,60,14.02,26.32,59.66,Sidedish,"capers, spaghetti, red chili, extra virgin olive oil, kalamata olives, pasta sauce, canned anchovy, garlic cloves, tomatoes, skinned black gram, parsley",European,985.48,29.03,4.05,148.08,13.11,1.02,1269.37,34.8,4.91,93.83,349.7,7.85,0.21,114.19,0.23,65.69,1101.25,0.71,2.63,1.66,119.54,0,1.17,0.49,6.89,19.34,1950.51,0,54.69,38.39,0,0,https://spoonacular.com/spaghetti-with-puttanesca-465,Detailed instructions can be found here: http://mrjhn24.blogspot.com/2012/01/spaghetti-with-puttanesca.html,1) Detailed instructions can be found here: http://mrjhn24.blogspot.com/2012/01/spaghetti-with-puttanesca.html,spaghetti puttanesca,caper spaghetti red chili extra virgin olive oil kalamata olive pasta sauce canned anchovy garlic clove tomato skinned black gram parsley,12,Hard,Spicy,spaghetti puttanesca caper spaghetti red chili extra virgin olive oil kalamata olive pasta sauce canned anchovy garlic clove tomato skinned black gram parsley
466,"Rachael Ray's ""now You'll Be Living A Lot Longer"" Spaghetti",1.847,245,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/rachael-rays-now-youll-be-living-a-lot-longer-spaghetti-466,https://spoonacular.com/recipeImages/466-556x370.jpg,244,98,52,16.56,33.83,49.61,Maindish,"spaghetti, egg yolks, extra virgin olive oil, anchovy, salt, lemon, kale, pecorino romano cheese, nutmeg, pepper, garlic cloves, worcestershire sauce",Mediterranean,751.94,28.31,9.56,93.41,4.39,134.82,704.03,31.18,3.2,84.9,583.97,3.13,0.32,507.96,0.19,49.48,552.22,0.87,3.11,1.35,97.36,0.62,1.04,0.38,2.45,4.5,3537.21,0.65,238.44,54.64,0,0,https://spoonacular.com/rachael-rays-now-youll-be-living-a-lot-longer-spaghetti-466,Detailed instructions can be found here: http://www.doctoroz.com/videos/rachael-ray-live-longer-spaghetti,1) Detailed instructions can be found here: http://www.doctoroz.com/videos/rachael-ray-live-longer-spaghetti,rachael ray living lot longer spaghetti,spaghetti egg yolk extra virgin olive oil anchovy salt lemon kale pecorino romano cheese nutmeg pepper garlic clove worcestershire sauce,12,Hard,Spicy,rachael ray living lot longer spaghetti spaghetti egg yolk extra virgin olive oil anchovy salt lemon kale pecorino romano cheese nutmeg pepper garlic clove worcestershire sauce
467,Salmon Salsa Verde,4.714,206,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,no,TRUE,FALSE,TRUE,15,https://spoonacular.com/salmon-salsa-verde-467,https://spoonacular.com/recipeImages/467-556x370.jpg,2344,94,100,49.04,49.47,1.49,Maindish,"anchovies, capers, mint, watercress, basil, salmon, parsley, olive oil",Mexican,293.38,15.76,2.38,1.07,0.11,95.5,279.6,35.15,14.02,63.46,358.93,2.15,0.69,58.33,0.4,57.45,929.75,0.5,1.28,0.14,61.58,5.43,2.92,1.42,0.93,0.6,1125.86,0,132.27,12.47,0,0,https://spoonacular.com/salmon-salsa-verde-467,"Heat the oven to 180c.Weigh out all the ingredients.
Remove any large stalks from the watercress and mint.Either finely chop all of ingredients (except for the salmon) and mix them together in a bowl with the olive oil or blend them in a food processor with the olive oil.
Remove any bones from the salmon fillets and put them, skin side down, onto an oiled baking tray. Then coat the top side of each filet with the salsa verde.
Put the tray into oven for 15 minutes. Then remove the salmon from the oven and allow them to rest for 5 minutes.
Serve. We served it with pan roasted potatoes.","1) Heat the oven to 180c.
2) Weigh out all the ingredients.
3) Remove any large stalks from the watercress and mint.
4) Either finely chop all of ingredients (except for the salmon) and mix them together in a bowl with the olive oil or blend them in a food processor with the olive oil.
5) Remove any bones from the salmon fillets and put them, skin side down, onto an oiled baking tray.
6) Then coat the top side of each filet with the salsa verde.
7) Put the tray into oven for 15 minutes.
8) Then remove the salmon from the oven and allow them to rest for 5 minutes.
Serve.
9) We served it with pan roasted potatoes.",salmon salsa verde,anchovy caper mint watercress basil salmon parsley olive oil,8,Easy,Salty,salmon salsa verde anchovy caper mint watercress basil salmon parsley olive oil
469,Home,8.5514,1116,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/home-469,https://spoonacular.com/recipeImages/469-556x370.jpg,542,83,37,57.02,13.89,29.09,Maindish,"parsnip, thyme, bay leaves, clams, onion, stewed tomatoes, water, fish, garlic, flat leaf parsley, shrimp, basil, dry white wine, headgarlic, sea bass, dungeness crab, onions, anchovy paste, roma tomatoes, ribscelery, oregano, kosher salt",Mediterranean,574.52,7.56,1.92,35.61,15.69,245.86,2344.68,69.81,12.06,140.15,784.19,7.52,0.32,231.45,0.42,106.61,1762.69,0.65,2.67,0.84,180.75,12.16,2.6,1,3.62,5.85,823.72,4.7,26,35.34,12.88,0,https://spoonacular.com/home-469,"Remove the heads from the shrimp as well as the legs and shells, but leave the tails on. Set the shells aside for the stock, then devein the shrimp by making a shallow incision along the back side of the shrimp from head to tail and removing any brown ""gunk"".
Remove the legs and claws from the crab by twisting and pulling, this will subdue the poor guy pretty quickly.
Remove the little flap on the underside of the crab then pry the top shell away from the body, reserving for the stock. Use a wrench or nutcracker to crack the legs and claws.
Cut each body into 4 segments. Refrigerate until ready to use.
Heat a large stockpot over medium heat until hot.
Add about 2 tablespoons of olive oil then add the onions, celery, parsnips, and garlic. Fry until soft, fragrant and starting to brown around the edges.
Add the wine and turn up to heat to bring to a boil. Boil for 5 minutes to burn off the alcohol.
Add the water, fish bones, shrimp heads/shells, the top shells of the crab, thyme, oregano, parsley, bay leaves, and salt. Bring this to a boil and skim off any foam that accumulates on the surface.Once there is no more foam forming, turn the heat down to medium low, cover and simmer for 2 hours.Strain through a colander and press on the solids with a potato masher to get every last bit of stock out. Discard the solids.Rinse the pot, place over medium heat and add a splash of oil. Fry the onions and garlic until soft and fragrant, then add the tomatoes and basil.Return the fish stock you made to the pot along with the crushed stewed tomatoes, and anchovy, and bring to a boil.Lower the heat to medium low then add the crab, snapper, and clams and cover the pot.
Let this simmer until the clams are open and the fish is cooked (about 10 minutes).
Add the shrimp and continue cooking until the shrimp just turn pink (another minute or two).
Serve the Cioppino in large bowls with some chopped parsley or chervil to garnish, and a big hunk of crusty sourdough bread.","1) Remove the heads from the shrimp as well as the legs and shells, but leave the tails on.
2) Set the shells aside for the stock, then devein the shrimp by making a shallow incision along the back side of the shrimp from head to tail and removing any brown ""gunk"".
3) Remove the legs and claws from the crab by twisting and pulling, this will subdue the poor guy pretty quickly.
4) Remove the little flap on the underside of the crab then pry the top shell away from the body, reserving for the stock.
5) Use a wrench or nutcracker to crack the legs and claws.
6) Cut each body into 4 segments.
7) Refrigerate until ready to use.
8) Heat a large stockpot over medium heat until hot.
9) Add about 2 tablespoons of olive oil then add the onions, celery, parsnips, and garlic.
10) Fry until soft, fragrant and starting to brown around the edges.
11) Add the wine and turn up to heat to bring to a boil.
12) Boil for 5 minutes to burn off the alcohol.
13) Add the water, fish bones, shrimp heads/shells, the top shells of the crab, thyme, oregano, parsley, bay leaves, and salt.
14) Bring this to a boil and skim off any foam that accumulates on the surface.
15) Once there is no more foam forming, turn the heat down to medium low, cover and simmer for 2 hours.
16) Strain through a colander and press on the solids with a potato masher to get every last bit of stock out.
17) Discard the solids.
18) Rinse the pot, place over medium heat and add a splash of oil.
19) Fry the onions and garlic until soft and fragrant, then add the tomatoes and basil.
20) Return the fish stock you made to the pot along with the crushed stewed tomatoes, and anchovy, and bring to a boil.
21) Lower the heat to medium low then add the crab, snapper, and clams and cover the pot.
22) Let this simmer until the clams are open and the fish is cooked (about 10 minutes).
23) Add the shrimp and continue cooking until the shrimp just turn pink (another minute or two).
24) Serve the Cioppino in large bowls with some chopped parsley or chervil to garnish, and a big hunk of crusty sourdough bread.",home,parsnip thyme bay leaf clam onion stewed tomato water fish garlic flat leaf parsley shrimp basil dry white wine headgarlic sea bass dungeness crab onion anchovy paste rom tomato ribscelery oregano kosher salt,23,Hard,Buttery,home parsnip thyme bay leaf clam onion stewed tomato water fish garlic flat leaf parsley shrimp basil dry white wine headgarlic sea bass dungeness crab onion anchovy paste rom tomato ribscelery oregano kosher salt
470,Open-Faced Tuna Nicoise Sandwich,7.3389,317,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/open-faced-tuna-nicoise-sandwich-470,https://spoonacular.com/recipeImages/470-556x370.jpg,542,88,93,38.97,43.11,17.92,Salad,"arugula, capers, fresh rosemary, anchovy, bread, lemons, ahi tuna steaks, parsley, salt and pepper, olive oil",French,461.93,22.23,4.18,20.78,3.92,67,534.57,45.21,17.19,71.96,513.65,4.13,0.57,143.34,0.59,78.97,739.67,0.27,1.69,0.52,125.89,16.06,2.34,0.89,3.85,3.59,4997.62,9.69,114.67,39.85,0,0,https://spoonacular.com/open-faced-tuna-nicoise-sandwich-470,Detailed instructions can be found here: http://www.marthastewart.com/332797/open-faced-tuna-nicoise-sandwich,1) Detailed instructions can be found here: http://www.marthastewart.com/332797/open-faced-tuna-nicoise-sandwich,open faced tuna nicoise sandwich,arugula caper fresh rosemary anchovy bread lemon ahi tuna steak parsley salt pepper olive oil,10,Intermediate,Salty,open faced tuna nicoise sandwich arugula caper fresh rosemary anchovy bread lemon ahi tuna steak parsley salt pepper olive oil
471,Piquillo-Pepper Num Pangs,2.5938,262,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,45,https://spoonacular.com/piquillo-pepper-num-pangs-471,https://spoonacular.com/recipeImages/471-556x370.jpg,4645,44,11,6.2,56.97,36.83,Maindish,"thai basil, sugar, mayonnaise, anchovy, lime juice, unsalted butter, whole garlic, sub rolls, cilantro, carrots, cider vinegar, sriracha sauce, asian fish sauce, olive oil, salt and pepper, cucumber, piquillo peppers, crushed red pepper",Mediterranean,480.11,30.52,9.59,44.38,10.82,32.98,846.12,7.48,0.96,1.69,45.16,12.58,0.07,71.41,0.05,30.1,282.64,0.15,0.42,0.37,28.63,0,0.31,0.14,3.11,2.89,7409.1,0.22,116.55,34.84,0,0,https://spoonacular.com/piquillo-pepper-num-pangs-471,"In a medium bowl, toss the carrots with the vinegar and sugar.
Let stand at room temperature for 1 hour; stir occasionally.
In a food processor, combine the basil, anchovies, lime juice, fish sauce, crushed red pepper and chopped garlic and process to a paste. With the machine on, slowly pour in the olive oil and puree until blended. Season with salt and pepper.
Let stand at room temperature for at least 30 minutes.
Preheat the broiler.
Spread the cut sides of the baguettes with the butter. Toast 3 inches from the heat. Rub the toasted sides with the garlic clove; spread with the mayonnaise.
Drizzle with the Sriracha. Arrange the cucumber, carrots and piquillo peppers on the bottoms and garnish with the cilantro.
Spread the tops with the pesto and close the sandwiches.
Cut in half and serve.","1) In a medium bowl, toss the carrots with the vinegar and sugar.
2) Let stand at room temperature for 1 hour; stir occasionally.
3) In a food processor, combine the basil, anchovies, lime juice, fish sauce, crushed red pepper and chopped garlic and process to a paste.
4) With the machine on, slowly pour in the olive oil and puree until blended.
5) Season with salt and pepper.
6) Let stand at room temperature for at least 30 minutes.
7) Preheat the broiler.
8) Spread the cut sides of the baguettes with the butter.
9) Toast 3 inches from the heat.
10) Rub the toasted sides with the garlic clove; spread with the mayonnaise.
11) Drizzle with the Sriracha.
12) Arrange the cucumber, carrots and piquillo peppers on the bottoms and garnish with the cilantro.
13) Spread the tops with the pesto and close the sandwiches.
14) Cut in half and serve.",piquillo pepper num pang,thai basil sugar mayonnaise anchovy lime juice unsalted butter whole garlic sub roll cilantro carrot cider vinegar sriracha sauce asian fish sauce olive oil salt pepper cucumber piquillo pepper crushed red pepper,18,Hard,Spicy,piquillo pepper num pang thai basil sugar mayonnaise anchovy lime juice unsalted butter whole garlic sub roll cilantro carrot cider vinegar sriracha sauce asian fish sauce olive oil salt pepper cucumber piquillo pepper crushed red pepper
473,Pork Ribs with Orange and Tomato Glaze,1.9948,243,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,no,FALSE,FALSE,FALSE,150,https://spoonacular.com/pork-ribs-with-orange-and-tomato-glaze-473,https://spoonacular.com/recipeImages/473-556x370.jpg,542,40,10,29.33,53.85,16.82,Sidedish,"orange juice, orange zest, shallots, tomato paste, oil-packed anchovies, rosemary, dry white wine, red wine vinegar, baby back ribs, orange marmalade, garlic cloves, oil packed sun dried tomatoes, kosher salt, black pepper, bay leaves, crushed red pepper",Mediterranean,393.01,22.18,7.68,15.59,10.92,93.55,1782.3,27.19,10.39,44.28,241.75,2.05,0.46,82.5,0.65,17.73,586.97,0.22,3.61,0.19,40.58,0.77,1.25,0.67,1.04,1.22,469.69,1.51,2.65,24.31,3.71,0,https://spoonacular.com/pork-ribs-with-orange-and-tomato-glaze-473,"In a food processor, combine the shallots, garlic, anchovies, sun-dried tomatoes, tomato paste, bay leaves and marmalade and process to a smooth paste.
Transfer to a large bowl and add the wine, orange juice, vinegar, rosemary, orange zest, salt, crushed red pepper and black pepper.
Add the ribs and toss to coat evenly. Cover and refrigerate, turning occasionally for at least 6 hours or overnight.
Preheat the oven to
Remove the ribs from the marinade and arrange them in a single layer on 2 large rimmed baking sheets. Cover with foil and bake for 1 hour.
Pour the marinade into a medium saucepan and bring to a boil; let cool.
Drain any fat and liquid from the ribs. Continue baking, uncovered, for about 1 hour longer, turning and basting occasionally with the reserved marinade, until the meat is very tender.
Transfer the ribs to a platter and serve right away.","1) In a food processor, combine the shallots, garlic, anchovies, sun-dried tomatoes, tomato paste, bay leaves and marmalade and process to a smooth paste.
2) Transfer to a large bowl and add the wine, orange juice, vinegar, rosemary, orange zest, salt, crushed red pepper and black pepper.
3) Add the ribs and toss to coat evenly.
4) Cover and refrigerate, turning occasionally for at least 6 hours or overnight.
5) Preheat the oven to
Remove the ribs from the marinade and arrange them in a single layer on 2 large rimmed baking sheets.
6) Cover with foil and bake for 1 hour.
7) Pour the marinade into a medium saucepan and bring to a boil; let cool.
8) Drain any fat and liquid from the ribs.
9) Continue baking, uncovered, for about 1 hour longer, turning and basting occasionally with the reserved marinade, until the meat is very tender.
10) Transfer the ribs to a platter and serve right away.",pork rib orange tomato glaze,orange juice orange zest shallot tomato paste oil packed anchovy rosemary dry white wine red wine vinegar baby back rib orange marmalade garlic clove oil packed sun dried tomato kosher salt black pepper bay leaf crushed red pepper,16,Hard,Spicy,pork rib orange tomato glaze orange juice orange zest shallot tomato paste oil packed anchovy rosemary dry white wine red wine vinegar baby back rib orange marmalade garlic clove oil packed sun dried tomato kosher salt black pepper bay leaf crushed red pepper
